Tag,Operation,Short Description,Extended Description
OAuth,get_my_oauth2_application,Retrieve the [app](https://discord.com/developers/docs/resources/application#application-object) associated with the requesting bot user,
Users,list_my_connections,List all [connections](https://discord.com/developers/docs/resources/user#connection-object) for the user,
Channels,create_dm,Open a DM channel with the user,
Guilds,list_my_guilds,List partial [guilds](https://discord.com/developers/docs/resources/guild#guild-object) where the user is a member,
Applications,get_my_application,Retrieve the [app](https://discord.com/developers/docs/resources/application#application-object) associated with the requesting bot user,
Applications,update_my_application,Update the app associated with the requesting bot user,
Gateway,get_bot_gateway,Retrieve [Gateway connection information](https://discord.com/developers/docs/topics/gateway#get-gateway-bot-json-response) for the requesting bot user,
OAuth,get_my_oauth2_authorization,Retrieve details about the current authorization,
Voice,list_voice_regions,List [voice region objects](https://discord.com/developers/docs/resources/voice#voice-region-object) that can be used when setting a voice or stage channel's `rtc_region`,
Users,get_my_user,Retrieve details about the current [user](https://discord.com/developers/docs/resources/user#user-object),
Users,update_my_user,Update account settings for the current user,
Stages,create_stage_instance,Create a [stage instance](https://discord.com/developers/docs/resources/stage-instance#stage-instance-object) associated with the stage channel,
Stickers,list_sticker_packs,,
Gateway,get_gateway,Retrieve a valid `wss` URL that can be used when establishing a [Gateway connection](https://discord.com/developers/docs/topics/gateway#connections),
Guilds,create_guild,Create a new [guild](https://discord.com/developers/docs/resources/guild#guild-object),
Threads,list_my_private_archived_threads,List the user's joined private threads ([type](https://discord.com/developers/docs/resources/channel#channel-object-channel-types) of `PRIVATE_THREAD`) that are archived in the given channel ,
Commands,list_guild_application_command_permissions,List the [command permission objects](https://discord.com/developers/docs/interactions/application-commands#application-command-permissions-object-guild-application-command-permissions-structure) for all of the app's commands in the guild,
Commands,get_guild_application_command_permissions,Retrieve the [command permissions](https://discord.com/developers/docs/interactions/application-commands#application-command-permissions-object-guild-application-command-permissions-structure) for a command in the guild,
Commands,set_guild_application_command_permissions,Update the [command permissions](https://discord.com/developers/docs/interactions/application-commands#application-command-permissions-object-guild-application-command-permissions-structure) for a command in the guild,
Messages,add_my_message_reaction,Add a reaction on the message for the current user,
Messages,delete_my_message_reaction,Remove a reaction on the message for the current user,
Threads,list_private_archived_threads,List private threads ([type](https://discord.com/developers/docs/resources/channel#channel-object-channel-types) of `PRIVATE_THREAD`) that are archived in the channel ,
Threads,list_public_archived_threads,List public threads ([type](https://discord.com/developers/docs/resources/channel#channel-object-channel-types) of `PUBLIC_THREAD` or `ANNOUNCEMENT_THREAD`) that are archived in the channel ,
Role Connections,get_application_user_role_connection,Retrieve an app's [role connection metadata](https://discord.com/developers/docs/resources/user#application-role-connection-object) for the user,
Role Connections,update_application_user_role_connection,Update an app's [role connection metadata](https://discord.com/developers/docs/resources/user#application-role-connection-object) for the user,
Members,get_my_guild_member,Retrieve the [guild member](https://discord.com/developers/docs/resources/guild#guild-member-object) object for the user,
Role Connections,get_application_role_connections_metadata,List [role connection metadata](https://discord.com/developers/docs/resources/application-role-connection-metadata#application-role-connection-metadata-object) objects for the app,
Role Connections,update_application_role_connections_metadata,Update [role connection metadata](https://discord.com/developers/docs/resources/application-role-connection-metadata#application-role-connection-metadata-object) for the app,
Commands,get_guild_application_command,Retrieve a guild [command](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
Commands,delete_guild_application_command,Delete a guild [command](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
Commands,update_guild_application_command,Update a guild [command](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
Commands,list_guild_application_commands,Retrieve a list of all guild [commands](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
Commands,bulk_set_guild_application_commands,Overwrite the guild's existing guild [commands](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
Commands,create_guild_application_command,Create a new guild[command](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
Threads,join_thread,Add the current user to the thread,
Threads,leave_thread,Remove the current user from the thread,
Messages,bulk_delete_messages,Delete a list of messages,
Messages,delete_user_message_reaction,Remove a reaction on the message for the user,
Emoji,list_message_reactions_by_emoji,Lists [users](https://discord.com/developers/docs/resources/user#user-object) that reacted to the message with a given emoji,
Emoji,delete_all_message_reactions_by_emoji,Remove all reactions on the message for a given emoji,
Messages,delete_all_message_reactions,Remove all reactions on the message,
Messages,crosspost_message,Publish a message in an announcement channel to all following channels,
Threads,create_thread_from_message,Create a new thread from an existing message,
Webhooks,get_original_webhook_message,Retrieve the initial interaction response,
Webhooks,delete_original_webhook_message,Delete the intial interaction response,
Webhooks,update_original_webhook_message,Edit the initial interaction response,
Scheduled Events,list_guild_scheduled_event_users,List [users subscribed](https://discord.com/developers/docs/resources/guild-scheduled-event#guild-scheduled-event-user-object) to a guild scheduled event,
Auto Mod,get_auto_moderation_rule,Retrieve an [AutoMod rule](https://discord.com/developers/docs/resources/auto-moderation#auto-moderation-rule-object),
Auto Mod,delete_auto_moderation_rule,Delete an AutoMod rule,
Auto Mod,update_auto_moderation_rule,Update an existing [AutoMod rule](https://discord.com/developers/docs/resources/auto-moderation#auto-moderation-rule-object),
Auto Mod,list_auto_moderation_rules,List all [AutoMod rules](https://discord.com/developers/docs/resources/auto-moderation#auto-moderation-rule-object) configured for the guild,
Auto Mod,create_auto_moderation_rule,Create a new [AutoMod rule](https://discord.com/developers/docs/resources/auto-moderation#auto-moderation-rule-object),
Voice,update_self_voice_state,Updates the current user's voice state,
Members,search_guild_members,List guild members whose username or nickname starts with a provided string,
Threads,get_active_guild_threads,List the guild's active threads in descending order by the threads' `id`,
Members,update_my_guild_member,Update the current member in the guild,
Roles,add_guild_member_role,Add a role to the [guild member](https://discord.com/developers/docs/resources/guild#guild-member-object),
Roles,delete_guild_member_role,Remove a role from the guild member,
Guilds,leave_guild,Leave a guild on behalf of the current user,
Commands,get_application_command,Retrieve a global command for the app,
Commands,delete_application_command,Delete a global command for the app,
Commands,update_application_command,Update a global [command](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
Commands,list_application_commands,List all global [commands](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for an app,
Commands,bulk_set_application_commands,Overwrite an app's existing global [commands](https://discord.com/developers/docs/interactions/application-commands#application-command-object) ,
Commands,create_application_command,Create a global [command](https://discord.com/developers/docs/interactions/application-commands#application-command-object) for the app,
